id,sleep_hours,work_hours,screen_time,physical_activity,social_interaction,stress_level,diet_quality,smoking,risk_level
1911,10.5,9.8,6.4,1,0,1.0,Healthy,Yes,Low
1912,11.5,5.1,5.7,1,0,6.0,Healthy,Yes,Medium
1913,8.3,8.6,8.4,4,4,8.0,Healthy,No,High
1914,8.0,6.8,7.0,4,2,6.0,Healthy,Yes,Medium
1915,3.4,5.7,4.5,4,2,3.0,Unhealthy,No,Low
1916,5.9,9.8,8.0,3,5,8.0,Unhealthy,No,High
1917,5.4,11.3,5.6,5,4,10.0,Healthy,No,High
1918,5.8,11.5,5.3,5,0,9.0,Unhealthy,No,High
1919,6.7,10.7,7.8,2,5,1.0,Healthy,No,Low
1920,6.1,7.5,5.8,3,4,6.0,Unhealthy,No,Medium
1921,3.0,11.1,6.8,3,0,10.0,Unhealthy,Yes,High
1922,,9.9,7.3,1,0,8.0,Unhealthy,Yes,High
1923,4.9,9.4,4.4,4,5,2.0,Healthy,No,Low
1924,7.5,7.2,6.8,3,5,4.0,Healthy,Yes,Medium
1925,,7.5,8.7,3,0,1.0,Unhealthy,No,Low
1926,5.2,9.2,4.1,4,2,4.0,Unhealthy,No,Medium
1927,1.9,16.3,6.9,5,4,2.0,Unhealthy,Yes,Low
1928,6.4,9.9,4.3,2,0,3.0,Healthy,Yes,Low
1929,9.2,7.2,8.0,1,3,4.0,Unhealthy,Yes,Medium
1930,10.9,6.5,8.0,0,0,3.0,Unhealthy,Yes,Low
1931,4.5,7.5,5.3,5,0,6.0,Healthy,Yes,Medium
1932,8.0,15.5,10.4,3,5,7.0,Unhealthy,No,High
1933,6.1,7.8,8.2,2,0,7.0,Unhealthy,No,High
1934,6.8,11.7,7.4,0,1,1.0,Unhealthy,Yes,Low
1935,12.3,7.9,7.3,5,5,5.0,Unhealthy,Yes,Medium
1936,4.0,9.8,8.0,5,3,3.0,Healthy,Yes,Low
1937,7.5,11.4,4.0,4,2,1.0,Unhealthy,Yes,Low
1938,7.9,7.3,6.4,0,5,1.0,Unhealthy,No,Low
1939,9.2,7.1,6.8,4,4,2.0,Healthy,Yes,Low
1940,7.2,14.0,5.2,5,4,10.0,Healthy,Yes,High
1941,7.6,12.0,6.9,5,5,8.0,Unhealthy,No,High
1942,6.2,11.4,8.5,5,4,4.0,Healthy,Yes,Medium
1943,7.5,11.4,5.2,2,5,10.0,Healthy,Yes,High
1944,6.3,10.4,5.9,5,2,3.0,Healthy,Yes,Low
1945,8.2,15.1,4.4,0,0,8.0,Unhealthy,No,High
1946,6.3,9.1,2.4,1,3,2.0,Healthy,No,Low
1947,7.8,10.7,7.6,2,4,9.0,Healthy,Yes,High
1948,6.9,4.6,5.9,0,1,4.0,Healthy,No,Medium
1949,9.3,6.5,6.1,3,1,9.0,Unhealthy,No,High
1950,6.9,5.4,4.0,0,3,1.0,Healthy,No,Low
1951,3.5,12.8,5.6,0,4,5.0,Unhealthy,No,Medium
1952,9.5,1.3,8.2,1,0,10.0,Unhealthy,Yes,High
1953,5.2,7.8,6.0,2,4,7.0,Healthy,No,High
1954,5.7,0.0,6.1,3,0,4.0,Unhealthy,No,Medium
1955,5.8,6.5,6.4,5,4,5.0,Unhealthy,No,Medium
1956,9.7,7.5,3.5,2,1,9.0,Unhealthy,No,High
1957,2.7,13.2,7.2,2,2,6.0,Unhealthy,No,Medium
1958,13.3,10.2,3.5,3,5,6.0,Healthy,No,Medium
1959,9.1,6.5,4.1,3,3,2.0,Unhealthy,Yes,Low
1960,7.4,12.2,3.9,1,0,1.0,Unhealthy,Yes,Low
1961,6.9,9.1,5.6,4,2,4.0,Healthy,Yes,Medium
1962,7.6,9.1,5.3,1,0,10.0,Unhealthy,Yes,High
1963,8.0,5.4,6.0,5,3,3.0,Healthy,Yes,Low
1964,8.3,6.0,4.2,3,2,7.0,Healthy,Yes,High
1965,8.1,6.5,8.0,0,2,7.0,Healthy,No,High
1966,7.2,9.1,7.7,0,5,6.0,Healthy,Yes,Medium
1967,6.6,9.2,5.7,2,5,5.0,Healthy,Yes,Medium
1968,6.7,13.6,5.0,2,3,3.0,Unhealthy,No,Low
1969,6.6,10.2,4.8,4,3,4.0,Unhealthy,No,Medium
1970,9.3,0.9,5.4,4,0,5.0,Healthy,No,Medium
1971,8.2,9.8,,4,2,4.0,Unhealthy,No,Medium
1972,1.1,4.6,4.1,4,3,3.0,Healthy,No,Low
1973,8.3,6.1,7.7,0,5,2.0,Unhealthy,No,Low
1974,7.4,6.6,6.6,3,0,5.0,Unhealthy,Yes,Medium
1975,7.0,7.0,9.3,5,4,2.0,Healthy,Yes,Low
1976,6.2,4.9,5.4,5,5,2.0,Healthy,No,Low
1977,9.2,9.6,5.3,4,3,2.0,Unhealthy,No,Low
1978,8.9,4.8,5.2,1,5,2.0,Healthy,No,Low
1979,5.5,10.1,5.4,5,5,8.0,Unhealthy,Yes,High
1980,,15.7,4.7,4,2,7.0,Unhealthy,No,High
1981,5.1,5.0,6.5,0,4,9.0,Unhealthy,No,High
1982,4.2,8.1,6.1,2,3,3.0,Unhealthy,No,Low
1983,5.7,1.4,5.0,1,1,1.0,Unhealthy,Yes,Low
1984,8.7,8.1,8.5,4,2,6.0,Unhealthy,Yes,Medium
1985,8.9,10.9,9.8,0,5,9.0,Healthy,No,High
1986,8.0,11.2,8.3,2,2,1.0,Unhealthy,Yes,Low
1987,8.5,9.2,7.1,4,0,1.0,Healthy,No,Low
1988,8.0,11.7,7.5,0,1,4.0,Unhealthy,No,Medium
1989,5.7,16.6,9.7,0,3,10.0,Unhealthy,No,High
1990,7.9,14.1,7.5,3,1,1.0,Unhealthy,Yes,Low
1991,8.6,7.4,4.8,0,5,9.0,Unhealthy,No,High
1992,8.5,4.6,6.8,4,3,6.0,Healthy,Yes,Medium
1993,9.4,7.8,7.3,0,0,5.0,Healthy,No,Medium
1994,8.4,6.2,4.0,1,5,5.0,Healthy,Yes,Medium
1995,7.7,10.4,5.4,0,5,2.0,Unhealthy,Yes,Low
1996,9.1,5.5,8.2,0,4,3.0,Unhealthy,No,Low
1997,6.9,8.8,2.4,5,1,7.0,Unhealthy,No,High
1998,5.2,11.5,3.5,1,2,4.0,Healthy,Yes,Medium
1999,6.7,8.7,5.6,4,3,6.0,Healthy,Yes,Medium
2000,5.5,6.2,6.7,2,1,8.0,Unhealthy,Yes,High
2001,5.6,12.5,3.3,3,3,1.0,Unhealthy,No,Low
2002,6.7,3.4,5.7,5,1,6.0,Healthy,No,Medium
2003,5.4,8.0,8.3,2,2,1.0,Healthy,Yes,Low
2004,6.4,8.9,6.1,4,3,8.0,Unhealthy,No,High
2005,3.2,9.0,7.9,4,3,,Healthy,Yes,Medium
2006,7.4,9.5,4.8,5,4,5.0,Healthy,Yes,Medium
2007,7.0,10.8,4.4,1,0,10.0,Healthy,No,High
2008,5.4,8.9,7.7,2,1,2.0,Unhealthy,No,Low
2009,8.3,7.9,6.7,0,2,3.0,Unhealthy,No,Low
2010,8.9,7.8,3.6,1,4,7.0,Healthy,Yes,High
2011,3.8,7.2,4.4,1,4,7.0,Unhealthy,No,High
2012,5.5,11.4,9.1,3,0,8.0,Unhealthy,Yes,High
2013,5.5,7.1,4.2,1,2,3.0,Unhealthy,Yes,Low
2014,5.1,24.0,7.9,2,5,2.0,Healthy,No,Low
2015,8.7,9.1,5.0,4,1,,Unhealthy,No,Low
2016,6.6,7.4,6.0,5,3,6.0,Healthy,No,Medium
2017,6.5,10.9,6.6,3,0,2.0,Unhealthy,Yes,Low
2018,3.0,6.8,1.8,5,3,4.0,Unhealthy,No,Medium
2019,8.3,10.9,3.1,5,4,9.0,Unhealthy,Yes,High
2020,4.5,9.6,6.2,0,3,10.0,Healthy,Yes,High
2021,7.1,7.2,4.6,2,1,3.0,Healthy,Yes,Low
2022,7.6,10.6,8.0,0,5,1.0,Unhealthy,No,Low
2023,9.7,10.6,2.8,1,1,2.0,Unhealthy,No,Low
2024,4.4,12.5,7.1,2,5,10.0,Unhealthy,No,High
2025,1.0,11.9,3.2,5,3,10.0,Healthy,Yes,High
2026,7.4,10.5,5.3,3,3,7.0,Healthy,Yes,High
2027,10.6,5.6,3.9,5,0,9.0,Unhealthy,Yes,High
2028,9.5,16.3,9.8,3,5,9.0,Healthy,No,High
2029,7.4,4.8,3.3,0,1,4.0,Unhealthy,No,Medium
2030,6.0,11.8,5.8,4,3,8.0,Healthy,Yes,High
2031,8.6,10.3,2.5,5,2,,Unhealthy,Yes,Low
2032,5.1,5.5,9.2,3,0,6.0,Unhealthy,Yes,Medium
2033,8.0,8.6,6.8,0,0,8.0,Unhealthy,Yes,High
2034,8.0,8.8,6.3,4,0,2.0,Unhealthy,Yes,Low
2035,9.1,12.9,,2,0,8.0,Unhealthy,Yes,High
2036,12.5,6.9,6.3,3,5,4.0,Healthy,No,Medium
2037,7.8,8.2,6.4,3,5,2.0,Healthy,Yes,Low
2038,6.0,2.0,6.3,5,3,4.0,Healthy,No,Medium
2039,6.9,14.2,7.1,5,4,8.0,Unhealthy,Yes,High
2040,3.5,5.8,5.0,0,2,4.0,Healthy,Yes,Medium
2041,5.6,10.0,5.6,3,4,8.0,Healthy,No,High
2042,6.2,8.7,7.6,0,4,7.0,Unhealthy,No,High
2043,6.0,8.7,6.6,3,3,,Unhealthy,No,Medium
2044,7.3,11.4,5.8,0,0,8.0,Unhealthy,No,High
2045,5.4,14.0,3.2,3,0,2.0,Unhealthy,Yes,Low
2046,9.2,9.8,9.0,2,3,3.0,Healthy,Yes,Low
2047,7.0,11.0,4.7,5,3,4.0,Unhealthy,Yes,Medium
2048,7.0,10.0,8.0,2,5,10.0,Unhealthy,Yes,High
2049,6.3,12.1,6.4,0,1,5.0,Unhealthy,No,Medium
2050,7.3,7.6,3.4,2,0,5.0,Unhealthy,Yes,Medium
2051,8.7,12.2,8.5,0,2,1.0,Healthy,No,Low
2052,5.3,12.3,6.5,5,1,1.0,Unhealthy,Yes,Low
2053,5.7,12.2,8.7,0,4,1.0,Healthy,Yes,Low
2054,6.4,7.0,5.6,5,5,5.0,Unhealthy,No,Medium
2055,4.3,8.5,7.4,1,5,2.0,Healthy,Yes,Low
2056,5.4,9.7,2.5,2,0,3.0,Unhealthy,Yes,Low
2057,6.0,4.9,5.0,1,3,8.0,Unhealthy,No,High
2058,8.7,13.8,3.5,5,3,10.0,Unhealthy,Yes,High
2059,7.5,9.0,5.3,5,3,8.0,Unhealthy,Yes,High
2060,7.4,9.9,6.9,1,0,10.0,Unhealthy,Yes,High
2061,8.7,7.3,4.8,5,5,2.0,Unhealthy,No,Low
2062,6.7,5.0,7.7,3,2,8.0,Unhealthy,No,High
2063,7.8,7.2,,0,3,9.0,Healthy,Yes,High
2064,6.8,9.7,7.8,4,5,10.0,Healthy,Yes,High
2065,7.5,11.0,8.6,1,0,10.0,Unhealthy,Yes,High
2066,5.8,9.5,8.0,3,4,6.0,Healthy,Yes,Medium
2067,2.1,10.0,5.3,2,1,1.0,Healthy,No,Low
2068,6.7,8.0,1.7,4,0,3.0,Healthy,No,Low
2069,9.8,10.5,7.2,5,0,5.0,Unhealthy,No,Medium
2070,8.9,13.4,5.7,0,5,3.0,Unhealthy,Yes,Low
2071,8.9,11.1,4.0,3,3,3.0,Unhealthy,No,Low
2072,9.5,11.4,4.9,4,1,9.0,Unhealthy,No,High
2073,7.2,9.9,8.9,0,1,5.0,Healthy,Yes,Medium
2074,7.4,4.5,3.7,0,3,8.0,Unhealthy,No,High
2075,5.8,5.9,6.9,4,2,7.0,Healthy,Yes,High
2076,6.4,10.4,6.4,3,0,4.0,Unhealthy,Yes,Medium
2077,8.2,9.0,5.3,5,3,3.0,Unhealthy,Yes,Low
2078,9.4,10.3,7.3,4,5,3.0,Unhealthy,No,Low
2079,6.7,14.0,9.3,1,2,2.0,Healthy,No,Low
2080,6.1,11.2,5.4,0,3,5.0,Unhealthy,Yes,Medium
2081,7.0,12.8,5.5,2,4,2.0,Healthy,No,Low
2082,8.2,9.3,7.2,5,2,2.0,Unhealthy,No,Low
2083,4.1,6.6,7.8,4,5,4.0,Healthy,Yes,Medium
2084,2.4,8.8,5.7,4,2,6.0,Unhealthy,No,Medium
2085,5.9,6.6,5.4,0,1,6.0,Healthy,No,Medium
2086,4.6,13.7,,0,0,8.0,Unhealthy,Yes,High
2087,6.0,11.4,4.4,4,3,6.0,Unhealthy,Yes,Medium
2088,6.7,10.6,3.7,2,5,6.0,Unhealthy,no,Medium
2089,6.1,12.7,7.4,0,5,4.0,Unhealthy,Yes,Medium
2090,9.9,2.9,5.5,0,3,5.0,Unhealthy,Yes,Medium
2091,7.7,10.8,5.4,1,0,7.0,Unhealthy,Yes,High
2092,7.6,5.1,6.0,3,5,10.0,Healthy,No,High
2093,8.2,9.0,4.3,1,5,9.0,Healthy,Yes,High
2094,4.7,8.1,9.1,2,0,4.0,Unhealthy,Yes,Medium
2095,9.1,11.0,8.6,3,5,10.0,Healthy,No,High
2096,6.8,9.7,9.2,4,5,1.0,Healthy,No,Low
2097,8.3,13.0,7.4,2,5,6.0,Unhealthy,No,Medium
2098,4.9,7.2,5.9,2,1,2.0,Healthy,No,Low
2099,3.9,11.1,9.2,1,0,7.0,Unhealthy,Yes,High
2100,8.6,9.5,4.6,3,4,6.0,Unhealthy,No,Medium
2101,7.8,4.1,4.3,2,1,9.0,Healthy,Yes,High
2102,5.2,6.2,4.8,3,2,6.0,Unhealthy,Yes,Medium
2103,5.3,8.6,7.0,5,0,6.0,Healthy,No,Medium
2104,9.3,12.3,4.5,4,2,4.0,Unhealthy,No,Medium
2105,4.6,10.4,5.7,3,1,9.0,Healthy,No,High
2106,10.3,5.5,2.8,1,5,3.0,Unhealthy,Yes,Low
2107,5.2,8.6,7.0,1,4,1.0,Unhealthy,Yes,Low
2108,8.3,15.1,3.0,2,4,10.0,Healthy,No,High
2109,6.3,9.3,4.1,3,0,8.0,Healthy,Yes,High
2110,8.2,8.0,8.4,1,4,8.0,Unhealthy,Yes,High
2111,5.9,10.5,8.4,0,5,1.0,Unhealthy,No,Low
2112,,11.3,6.7,1,3,9.0,Unhealthy,No,High
2113,7.1,7.6,6.6,4,5,2.0,Unhealthy,No,Low
2114,5.0,10.5,4.9,0,1,6.0,Healthy,No,Medium
2115,8.5,8.0,4.5,3,5,9.0,Healthy,Yes,High
2116,6.0,11.2,5.3,5,4,6.0,Healthy,No,Medium
2117,6.5,9.5,3.0,2,1,7.0,Unhealthy,No,High
2118,5.0,10.4,6.5,0,1,9.0,Healthy,Yes,High
2119,1.9,6.7,6.1,1,5,5.0,Healthy,No,Medium
2120,6.6,6.5,4.1,2,5,1.0,Unhealthy,Yes,Low
2121,11.8,11.8,9.1,5,3,9.0,Healthy,Yes,High
2122,8.6,8.8,7.2,5,5,10.0,Unhealthy,Yes,High
2123,7.0,9.9,7.4,2,5,7.0,Healthy,Yes,High
2124,6.5,8.1,5.0,2,0,8.0,Unhealthy,No,High
2125,7.0,11.7,6.0,2,1,2.0,Unhealthy,Yes,Low
2126,8.1,7.2,7.3,3,3,5.0,Healthy,No,Medium
2127,4.6,8.6,6.3,3,4,8.0,Unhealthy,Yes,High
2128,9.2,11.4,9.2,3,2,7.0,Unhealthy,Yes,High
2129,8.4,12.5,5.6,1,0,7.0,Unhealthy,No,High
2130,8.4,7.4,5.0,3,5,4.0,Healthy,Yes,Medium
2131,7.9,14.9,7.3,2,2,2.0,Healthy,No,Low
2132,7.0,9.9,3.5,0,3,10.0,Unhealthy,Yes,High
2133,8.3,5.9,7.8,0,1,3.0,Unhealthy,Yes,Low
2134,8.2,10.1,3.4,5,3,9.0,Unhealthy,Yes,High
2135,6.3,7.9,7.3,0,0,4.0,Unhealthy,Yes,Medium
2136,5.9,10.3,4.7,0,0,1.0,Unhealthy,No,Low
2137,7.2,8.9,7.0,0,4,10.0,Healthy,No,High
2138,10.1,9.2,7.8,5,3,4.0,Unhealthy,Yes,Medium
2139,4.5,6.3,6.3,4,0,8.0,Unhealthy,No,High
2140,4.1,12.0,3.6,0,3,8.0,Unhealthy,No,High
2141,7.3,5.5,4.2,0,4,10.0,Unhealthy,Yes,High
2142,7.1,5.7,4.5,0,4,10.0,Healthy,No,High
2143,7.3,10.1,2.2,5,3,2.0,Healthy,Yes,Low
2144,7.5,13.8,8.3,1,5,10.0,Healthy,No,High
2145,6.6,7.9,,4,0,4.0,Unhealthy,Yes,Medium
2146,10.0,11.1,3.7,0,1,7.0,Unhealthy,No,High
2147,3.8,12.2,8.9,5,5,8.0,Unhealthy,Yes,High
2148,5.3,11.4,4.6,5,1,1.0,Unhealthy,No,Low
2149,6.8,8.1,6.5,3,5,8.0,Healthy,No,High
2150,3.7,5.7,4.3,1,4,1.0,Unhealthy,No,Low
2151,6.6,2.4,2.0,5,0,6.0,Healthy,No,Medium
2152,10.3,8.2,3.3,5,4,,Unhealthy,Yes,Medium
2153,7.0,12.5,5.1,4,4,10.0,Healthy,No,High
2154,7.5,5.6,,3,4,7.0,Healthy,Yes,High
2155,4.5,11.1,6.7,3,4,6.0,Healthy,No,Medium
2156,5.8,6.1,6.3,1,3,10.0,Healthy,No,High
2157,6.2,9.3,2.0,5,3,1.0,Healthy,No,Low
2158,6.4,11.1,8.5,3,0,6.0,Unhealthy,No,Medium
2159,9.6,7.0,6.4,2,5,3.0,Unhealthy,Yes,Low
2160,8.1,9.5,5.8,1,0,6.0,Healthy,Yes,Medium
2161,4.8,7.8,8.3,1,2,7.0,Healthy,No,High
2162,7.5,11.1,8.5,2,1,6.0,Unhealthy,No,Medium
2163,8.0,9.7,8.3,1,3,9.0,Healthy,Yes,High
2164,9.3,9.2,5.5,3,0,9.0,Unhealthy,No,High
2165,10.2,13.7,4.0,3,5,8.0,Healthy,No,High
2166,5.0,11.0,8.0,3,4,5.0,Unhealthy,No,Medium
2167,5.4,6.9,3.3,2,3,10.0,Healthy,Yes,High
2168,4.5,8.7,9.9,3,1,3.0,Unhealthy,Yes,Low
2169,6.5,8.8,6.1,2,3,4.0,Unhealthy,Yes,Medium
2170,7.9,9.2,3.9,2,5,10.0,Healthy,No,High
2171,9.0,16.6,20.0,2,1,8.0,Unhealthy,Yes,High
2172,6.8,10.1,3.4,1,2,9.0,Healthy,No,High
2173,6.4,2.9,6.3,4,0,8.0,Unhealthy,Yes,High
2174,7.3,7.4,6.0,5,5,10.0,Unhealthy,Yes,High
2175,5.3,3.2,3.5,2,1,3.0,Unhealthy,No,Low
2176,11.2,8.0,5.3,3,2,7.0,Healthy,No,High
2177,3.8,3.0,3.3,2,5,8.0,Healthy,Yes,High
2178,7.4,6.4,7.2,5,5,3.0,Healthy,Yes,Low
2179,11.0,4.4,5.9,0,3,1.0,Unhealthy,Yes,Low
2180,7.0,10.2,5.2,1,0,7.0,Healthy,Yes,High
2181,6.6,9.0,3.4,3,1,3.0,Unhealthy,No,Low
2182,6.3,9.9,5.4,1,5,1.0,Healthy,No,Low
2183,6.6,8.7,5.2,1,5,7.0,Unhealthy,Yes,High
2184,,4.8,6.6,0,1,7.0,Healthy,Yes,High
2185,2.6,10.5,6.3,2,5,4.0,Healthy,No,Medium
2186,10.1,14.8,7.6,3,0,2.0,Unhealthy,Yes,Low
2187,4.2,10.2,5.0,4,5,10.0,Healthy,Yes,High
2188,6.5,7.7,2.3,1,3,5.0,Healthy,No,Medium
2189,6.1,4.7,8.0,5,3,9.0,Healthy,Yes,High
2190,8.2,6.3,4.1,4,4,6.0,Unhealthy,Yes,Medium
2191,3.8,10.4,3.8,4,5,10.0,Unhealthy,No,High
2192,7.9,12.2,5.9,2,3,9.0,Healthy,No,High
2193,11.0,9.8,6.6,4,0,1.0,Healthy,No,Low
2194,4.3,11.4,4.9,3,2,2.0,Unhealthy,No,Low
2195,7.4,11.1,4.9,2,0,6.0,Unhealthy,No,Medium
2196,40.0,10.5,5.2,5,1,3.0,Unhealthy,No,Low
2197,7.9,7.0,8.8,4,5,2.0,Unhealthy,No,Low
2198,7.0,9.5,6.0,2,4,,Unhealthy,Yes,Medium
2199,5.7,6.5,4.1,3,4,7.0,Unhealthy,No,High
2200,8.0,9.1,4.1,1,2,4.0,Healthy,No,Medium
2201,10.6,10.0,5.5,0,5,10.0,Unhealthy,No,High
2202,6.6,14.0,6.5,2,1,9.0,Unhealthy,No,High
2203,8.4,5.1,7.0,5,3,,Healthy,No,Low
2204,4.4,10.4,6.2,0,3,2.0,Healthy,No,Low
2205,5.1,13.4,4.3,1,3,5.0,Unhealthy,Yes,Medium
2206,7.9,24.0,5.2,5,0,9.0,Healthy,No,High
2207,10.0,11.5,20.0,3,3,1.0,Unhealthy,Yes,Low
2208,7.7,10.8,3.7,5,1,6.0,Healthy,No,Medium
2209,6.4,12.9,5.1,1,4,8.0,Healthy,Yes,High
2210,7.0,5.7,7.2,0,0,7.0,Healthy,Yes,High
2211,4.5,4.8,7.8,3,3,6.0,Healthy,no,Medium
2212,8.2,9.0,5.6,5,1,3.0,Unhealthy,No,Low
2213,8.8,2.5,5.2,4,2,9.0,Healthy,Yes,High
2214,6.1,12.7,3.4,4,1,5.0,Healthy,Yes,Medium
2215,6.1,12.7,7.1,2,4,1.0,Healthy,No,Low
2216,7.5,7.7,8.6,4,1,9.0,Unhealthy,No,High
2217,6.1,7.9,11.1,5,1,10.0,Healthy,No,High
2218,6.9,8.8,6.8,0,0,9.0,Unhealthy,Yes,High
2219,11.2,9.2,5.9,4,4,,Unhealthy,No,Low
2220,6.5,9.4,4.2,2,3,,Healthy,Yes,High
2221,6.3,10.7,2.2,3,4,9.0,Healthy,Yes,High
2222,5.7,8.5,6.4,4,2,2.0,Unhealthy,No,Low
2223,8.5,11.8,10.7,2,5,10.0,Unhealthy,No,High
2224,6.6,10.3,8.5,4,4,6.0,Healthy,Yes,Medium
2225,5.7,7.2,8.2,4,0,10.0,Unhealthy,Yes,High
2226,9.6,13.0,6.5,5,3,1.0,Healthy,No,Low
2227,9.8,4.9,6.7,0,4,3.0,Healthy,Yes,Low
2228,5.8,8.7,1.2,2,5,5.0,Healthy,No,Medium
2229,3.3,11.9,7.5,2,3,7.0,Unhealthy,No,High
2230,9.0,6.8,4.8,1,0,5.0,Healthy,Yes,Medium
2231,5.6,9.9,4.6,1,1,8.0,Healthy,No,High
2232,8.6,10.6,5.4,2,5,5.0,Healthy,Yes,Medium
2233,3.1,6.4,5.3,5,2,6.0,Healthy,Yes,Medium
2234,8.8,8.8,4.6,0,4,2.0,Healthy,No,Low
2235,4.6,8.5,6.0,4,3,5.0,Healthy,Yes,Medium
2236,8.5,7.3,4.9,3,4,7.0,Healthy,No,High
2237,7.0,15.9,6.2,5,0,1.0,Healthy,No,Low
2238,5.1,6.7,3.0,4,1,10.0,Unhealthy,No,High
2239,6.2,12.0,5.6,3,0,9.0,Unhealthy,No,High
2240,8.4,7.8,3.8,0,5,9.0,Unhealthy,No,High
2241,7.2,5.7,4.7,1,3,8.0,Healthy,No,High
2242,8.2,9.3,6.3,2,4,9.0,Unhealthy,No,High
2243,11.0,10.9,2.8,0,3,5.0,Healthy,No,Medium
2244,3.9,11.8,4.4,3,5,7.0,Unhealthy,No,High
2245,10.2,13.7,7.1,5,5,1.0,Unhealthy,Yes,Low
2246,,17.8,3.2,2,0,7.0,Healthy,No,High
2247,5.2,9.8,9.6,3,4,9.0,Unhealthy,No,High
2248,4.3,7.0,8.4,4,3,3.0,Unhealthy,Yes,Low
2249,6.6,10.4,5.0,4,4,9.0,Healthy,Yes,High
2250,8.8,8.2,4.4,5,2,5.0,Unhealthy,Yes,Medium
2251,6.7,11.8,6.4,4,0,9.0,Unhealthy,No,High
2252,10.0,5.1,3.1,2,0,8.0,Healthy,No,High
2253,4.1,16.1,2.0,1,2,,Unhealthy,Yes,High
2254,7.0,11.6,5.1,1,1,10.0,Healthy,No,High
2255,4.5,3.9,5.7,3,5,6.0,Unhealthy,Yes,Medium
2256,7.7,6.9,6.2,1,3,2.0,Unhealthy,Yes,Low
2257,8.8,11.4,4.8,1,1,7.0,Unhealthy,No,High
2258,6.2,12.5,8.5,3,4,2.0,Healthy,Yes,Low
2259,1.8,5.2,3.0,3,3,6.0,Healthy,No,Medium
2260,7.4,11.1,3.7,3,3,6.0,Unhealthy,No,Medium
2261,7.9,3.2,7.0,2,5,9.0,Unhealthy,No,High
2262,7.8,8.7,3.7,3,3,10.0,Healthy,Yes,High
2263,9.5,12.3,3.6,2,2,4.0,Unhealthy,No,Medium
2264,4.9,7.3,6.2,2,0,9.0,Healthy,No,High
2265,8.4,4.5,3.9,2,2,2.0,Healthy,No,Low
2266,9.4,9.4,5.7,3,2,5.0,Healthy,Yes,Medium
2267,3.4,7.2,4.6,1,2,3.0,Unhealthy,Yes,Low
2268,7.6,10.9,4.3,5,1,6.0,Healthy,Yes,Medium
2269,6.0,6.3,1.8,5,2,2.0,Healthy,Yes,Low
2270,6.8,6.7,6.3,1,0,10.0,Unhealthy,Yes,High
2271,7.7,2.9,3.5,3,3,9.0,Healthy,Yes,High
2272,6.0,9.5,5.7,1,1,4.0,Unhealthy,Yes,Medium
2273,5.6,8.5,5.0,3,5,7.0,Unhealthy,No,High
2274,7.1,5.4,5.6,2,2,5.0,Unhealthy,Yes,Medium
2275,4.8,9.6,5.7,4,2,8.0,Unhealthy,Yes,High
2276,4.8,12.1,6.4,0,3,4.0,Unhealthy,Yes,Medium
2277,8.4,8.4,4.5,5,3,7.0,Unhealthy,Yes,High
2278,4.7,9.8,8.5,3,5,5.0,Healthy,No,Medium
2279,8.3,9.8,2.3,2,1,3.0,Unhealthy,Yes,Low
2280,7.9,5.4,5.5,4,5,8.0,Unhealthy,No,High
2281,3.5,15.2,7.7,2,5,,Unhealthy,Yes,Medium
2282,5.6,7.6,7.0,0,0,4.0,Healthy,Yes,Medium
2283,9.4,11.0,4.1,5,1,9.0,Healthy,No,High
2284,5.0,11.3,4.4,1,3,9.0,Unhealthy,Yes,High
2285,6.1,8.6,4.0,1,0,2.0,Unhealthy,Yes,Low
2286,7.9,10.8,7.2,2,2,10.0,Healthy,Yes,High
2287,8.6,9.7,4.5,0,5,9.0,Unhealthy,No,High
2288,6.5,4.7,6.5,2,2,4.0,Unhealthy,Yes,Medium
2289,5.8,8.0,6.5,1,4,9.0,Healthy,No,High
2290,9.8,7.2,10.7,2,3,10.0,Healthy,Yes,High
2291,10.5,7.6,6.6,4,4,8.0,Healthy,No,High
2292,9.0,5.1,4.4,0,1,10.0,Healthy,Yes,High
2293,7.2,12.4,3.1,1,1,3.0,Healthy,Yes,Low
2294,5.4,13.8,5.4,5,5,10.0,Unhealthy,No,High
2295,5.3,11.9,5.8,5,0,7.0,Unhealthy,No,High
2296,8.0,12.8,,2,5,2.0,Healthy,Yes,Low
2297,7.8,8.0,4.6,0,3,2.0,Healthy,Yes,Low
2298,9.8,7.1,6.6,2,0,4.0,Unhealthy,No,Medium
2299,8.3,6.7,4.9,1,0,10.0,Unhealthy,No,High
2300,4.0,10.9,7.9,0,1,7.0,Healthy,Yes,High
2301,9.1,9.7,2.9,1,1,4.0,Unhealthy,Yes,Medium
2302,5.0,8.8,7.4,4,5,2.0,Unhealthy,No,Low
2303,6.2,12.9,7.8,4,3,2.0,Unhealthy,Yes,Low
2304,7.5,10.2,7.9,5,1,5.0,Unhealthy,No,Medium
2305,11.0,6.5,2.9,3,3,3.0,Healthy,Yes,Low
2306,13.2,7.0,6.6,0,4,3.0,Unhealthy,Yes,Low
2307,8.2,11.0,4.7,4,5,1.0,healthy,Yes,Low
2308,6.6,12.1,3.2,3,2,3.0,Unhealthy,Yes,Low
2309,8.1,10.7,5.2,5,5,4.0,Healthy,Yes,Medium
2310,8.8,14.7,4.2,0,4,6.0,Unhealthy,No,Medium
2311,6.4,13.9,7.8,1,1,6.0,Healthy,No,Medium
